,lugares,labels,Quotes,order
16,Switzerland,GPE," FACT
T he world’s largest scientific research facility-Switzerland’s Conseil Européen pour la Recherche Nucléaire(CERN)-recently succeeded in producing the first particles of antimatter",16
17,New York City,GPE,"Antimatter creates no pollution or radiation, and a droplet could power New York City for a full day",17
18,Hiroshima,GPE,"A single gram antimatter contains the energy of a 20-kiloton nuclear
bomb-the size of the bomb dropped on Hiroshima",18
19,Rome,GPE,"One question looms: Will this highly volatile substance save the world, or will it be used o 
to create the m st deadly weapon ever made?
AUTHOR’S NOTE
R eferences to all works of art, tombs, tunnels, and architecture in Rome are entirely factual (as are their exact locations)",19
20,Tulsa,GPE,"The Shroud of Tulsa , Langdon had called it",20
21,Massachusetts,GPE," 
Robert Langdon wandered barefoot through his deserted Massachusetts Victorian home and nursed his ritual insomnia remedy-a mug of steaming Nestlé’s Quik",21
22,Ghana,GPE,"His shelves were packed with religious artifacts from around the world-an ekuabafrom Ghana, a gold cross from Spain, a cycladic idol from the Aegean, and even a rare woven boccusfrom Borneo, a young warrior’s symbol of perpetual youth",22
23,Spain,GPE,"His shelves were packed with religious artifacts from around the world-an ekuabafrom Ghana, a gold cross from Spain, a cycladic idol from the Aegean, and even a rare woven boccusfrom Borneo, a young warrior’s symbol of perpetual youth",23
24,Aegean,LOC,"His shelves were packed with religious artifacts from around the world-an ekuabafrom Ghana, a gold cross from Spain, a cycladic idol from the Aegean, and even a rare woven boccusfrom Borneo, a young warrior’s symbol of perpetual youth",24
25,Borneo,GPE,"His shelves were packed with religious artifacts from around the world-an ekuabafrom Ghana, a gold cross from Spain, a cycladic idol from the Aegean, and even a rare woven boccusfrom Borneo, a young warrior’s symbol of perpetual youth",25
26,Boston,GPE,My lab is only an hour’s flight from Boston,26
27,Boston,GPE,“It will be in Boston in twenty minutes,27
28,the Callahan Tunnel,FAC,".”4
R obert Langdon’s Saab 900S tore out of the Callahan Tunnel and emerged on the east side of Boston Harbor near the entrance to Logan Airport",28
29,Boston Harbor,FAC,".”4
R obert Langdon’s Saab 900S tore out of the Callahan Tunnel and emerged on the east side of Boston Harbor near the entrance to Logan Airport",29
30,Logan Airport,FAC,".”4
R obert Langdon’s Saab 900S tore out of the Callahan Tunnel and emerged on the east side of Boston Harbor near the entrance to Logan Airport",30
31,Aviation Road,FAC,"Checking his directions Langdon found Aviation Road and turned left
",31
32,Geneva,GPE," 
“Geneva,” the pilot replied, revving the engines",32
33,Geneva,GPE,“The lab’s in Geneva,33
34,Geneva,GPE,".”
“Geneva,” Langdon repeated, feeling a little better",34
35,Seneca Lake,LOC,I’ve actually got family near Seneca Lake,35
36,Geneva,GPE,I wasn’t aware Geneva had a physics lab,36
37,New York,GPE,"“Not Geneva, New York, Mr",37
38,Geneva,GPE,"Geneva, Switzerland ",38
39,Switzerland,GPE,"Geneva, Switzerland ",39
40,Switzerland,GPE,“Switzerland?” Langdon felt his pulse surge,40
41,earth,LOC,One of the most covert and feared fraternities ever to walk the earth had called on him for service,41
42,Janus,LOC,He had made his kill and delivered the item to Janus as requested,42
43,Saturn,LOC,or to the moon of Saturn? Not that it made any difference,43
44,Switzerland,GPE," 
“Welcome to Switzerland,” the pilot said, yelling over the roar of the X-33’s misted-fuel HEDM engines winding down behind them",44
45,HEDM,GPE," 
“Welcome to Switzerland,” the pilot said, yelling over the roar of the X-33’s misted-fuel HEDM engines winding down behind them",45
46,Tokyo,GPE,If we’d gone to Tokyo I’d have taken her all the way up-a hundred miles,46
47,earth,LOC,“It’s buried six stories below the earth,47
48,Europe,LOC,“Most Americans do not see Europe as the world leader in scientific research,48
49,ards,GPE," 
Kohler took a sharp left and entered a wide hallway
ards and
adorned with aw 
commendations",49
50,Louvre,LOC,"Then again, his knowledge was limited to the site for his own book and the occasional on-line exploration of the Louvre or El Prado on his old Macintosh",50
51,El Prado,FAC,"Then again, his knowledge was limited to the site for his own book and the occasional on-line exploration of the Louvre or El Prado on his old Macintosh",51
52,U.S.,GPE,"Of course, the entire world is under the impression the Web is U",52
53,Frisbee,FAC,"As if to accentuate the collegiate atmosphere, two longhaired hippies hurled a Frisbee back and forth while enjoying Mahler’s Fourth Symphony blaring from a dorm window",53
54,Fourth Symphony,FAC,"As if to accentuate the collegiate atmosphere, two longhaired hippies hurled a Frisbee back and forth while enjoying Mahler’s Fourth Symphony blaring from a dorm window",54
55,Frisbee,FAC,"As they walked, a Frisbee sailed overhead and skidded to a stop directly in front of them",55
56,PARIS,GPE,An elderly white-haired man in a COLLEGE PARIS sweatshirt waved to him,56
57,Rome,GPE,"But in the 1500s, a group of men in Rome fought back against the church",57
58,Italy,GPE,"Some of Italy’s most enlightened men-physicists, ma 
e 
thematicians, astronom rs-began meeting
secretly to share their concerns about the church’s inaccurate teachings",58
59,Europe,LOC,"“Europe’s most learne 
i 
d m nds ",59
60,Europe,LOC,"Word spread through the academic underground, and the Illuminati brotherhood grew to include academics from all over Europe",60
61,Rome,GPE,The scientists met regularly in Rome at an ultrasecret lair they called the Church of Illumination ,61
62,earth,LOC,"Even nonscientists were familiar with the ill-fated as 
m 
trono er who had been arrested and almost executed by the church for proclaiming that the sun , and not the earth, was the center of the solar system",62
63,Galileo Galilei,FAC," 
“His name was Galileo Galilei,” Langdon said",63
64,Rome,GPE," 
“Then the scientists were brutally murdered, their dead bodies dropped in the streets of Rome as a warning to others thinking of joining the Illuminati",64
65,Italy,GPE,"With the church closing in, the remaining Illuminati fled Italy",65
66,earth,LOC,Their power grew to the point where the church considered them the single most dangerous anti-Christian force on earth,66
67,Vatican,FAC,The Vatican denounced the brotherhood as Shaitan ,67
68,Rome,GPE," 
re survivors,” he explained 
“When they fled Rome, they traveled across Europe looking for a safe place to regroup",68
69,Europe,LOC," 
re survivors,” he explained 
“When they fled Rome, they traveled across Europe looking for a safe place to regroup",69
70,the United States,GPE,"The brotherhood of the Masons currently had over five million members worldwide, half of them residing in the United States, and over one million of them in Europe",70
71,Europe,LOC,"The brotherhood of the Masons currently had over five million members worldwide, half of them residing in the United States, and over one million of them in Europe",71
72,Europe,LOC,"“The Illuminati grew more powerful in Europe and set their sights on America, a
a 
fledgling government m ny of whose leaders
were Masons-George Washington, Ben Franklin-honest, God-fearing men who were unaware of the Illuminati stronghold on the Masons",72
73,America,GPE,"“The Illuminati grew more powerful in Europe and set their sights on America, a
a 
fledgling government m ny of whose leaders
were Masons-George Washington, Ben Franklin-honest, God-fearing men who were unaware of the Illuminati stronghold on the Masons",73
74,Kent,GPE,"Recently the New York Timeshad reported the eerie Masonic ties of countless famous men-Sir Arthur Conan Doyle, the Duke of Kent, Peter Sellers, Irving Berlin, Prince Philip, Louis Armstrong, as well as a pantheon of well-known modern-day industrialists and banking magnates",74
75,Irving Berlin,GPE,"Recently the New York Timeshad reported the eerie Masonic ties of countless famous men-Sir Arthur Conan Doyle, the Duke of Kent, Peter Sellers, Irving Berlin, Prince Philip, Louis Armstrong, as well as a pantheon of well-known modern-day industrialists and banking magnates",75
76,the Biology Building,FAC,"Just last week the Harvard School of Divinity had marched on the Biology Building, protesting the genetic engineering taking place in the graduate program",76
77,the Balearic Sea,LOC," 
Kohler nodded and yelled back, “She was doing biological research in the Balearic Sea",77
78,twen,FAC,"Her face was unmistakably Italiannot overly beautiful, but possessing f atures that even at twen 
ull, earthy fe 
ty yards seemed
to exude a raw sensuality",78
79,Mediterranean,LOC,"Her limbs were strong and toned, radiating the healthy luminescence of Mediterranean flesh that had enjoyed long hours in the sun",79
80,U.S.,GPE,“He is a specialist from the U,80
81,Camb,GPE,"He had first heard it over dinner with some colleagues at Dunster House in Camb 
f
ridge",81
82,U.S.,GPE,“The U,82
83,earth,LOC,"The circumference of this tunnel is so
pe 
large that the curve is im 
rceptible-like
that of the earth",83
84,earth,LOC,He remembered the CERN driver saying something about a huge machine buried in the earth,84
85,France,GPE,It extends all the way into France before curving back here to this spot,85
86,Siena,GPE,"She was eight years old, living where sh a 
e always h d, Orfanotrofiodi Siena , a Catholic orphanage near Florence, deserted by parents she never knew",86
87,Florence,GPE,"She was eight years old, living where sh a 
e always h d, Orfanotrofiodi Siena , a Catholic orphanage near Florence, deserted by parents she never knew",87
88,Switzerland,GPE," 
“I’m moving to Switzerland,” Leonardo said",88
89,Switzerland,GPE,"“Oh yes! Yes!”
Leonardo told her he had to leave for a while and get their new home settled in Switzerland, but he promised to send for her in six months",89
90,Geneva,GPE,"Five days before her ninth birthday, Vittoria moved to Geneva",90
91,the Balearic Islands,GPE,in the Balearic Islands when Kohler’s call came through,91
92,Europe,LOC,"But here, in Europe, women feigned a strength and independence that both amused and excited him",92
93,Stonehenge,GPE,"Like a miniature Stonehenge, a dozen or so columns of polished steel stood in a circle in the middle of the room",93
94,Vittoria,GPE,".”
Langdon sensed Kohler weighing his options, as if wondering how far to push Vittoria ",94
95,the Hubble Telescope,FAC,"It’s called the Hubble Telescope, sir-I’ve never heard of any Lemaître Telescope!
“Mr",95
96,Lemaître   Telescope,LOC,"It’s called the Hubble Telescope, sir-I’ve never heard of any Lemaître Telescope!
“Mr",96
97,earth,LOC,"They are a type of matter that does nothad 
exist anywhere on earth ",97
98,Vittoria,GPE,He looked up at Vittoria in clear astonishment and then without warning was overcome by a fit of coughing,98
99,Papua New Guinea,GPE,The room reminded Langdon of the holding tank of an oil freighter he had once taken to Papua New Guinea to study Hantabody graffiti,99
100,lthou,GPE,"Comm 
wh 
ercialism was critical
lthou 
for the success of any new energy source",100
101,nonpolluti,GPE,"A 
gh antimatter technology had staggering
potential as an efficient and nonpolluti 
ource-if unveiled prematurely,
ng energy s 
antimatter ran the risk of being vilified by the politics and PR fiascoes that had killed nuclear and solar power",101
102,Vittoria,GPE,".”
The look of alarm that shot between Kohler and Langdon was not lost on Vittoria",102
103,earth,LOC," 
Another seventy-five feet into the earth",103
104,earth,LOC,"“You think
e product of an icy divorce from 
CERN is so critical to the earth’s future that we should be immune from moral responsibility?”
“Do not argue moralswith me",104
105,Europe,LOC,I didn’t know it was in Europe too,105
106,earth,LOC,It was like the man had disappeared off the face of the earth,106
107,Vittoria,GPE," 
A single sentient thought began pounding at Vittoria with unrelenting force",107
108,PA,GPE,".”
The sound of his name on the PA seemed to startle Kohler",108
109,Vittoria,GPE,"Kohler took two long pulls, pushed the mask aside, and still gasping for air, looked up at Vittoria and Langdon",109
110,Rome,GPE,“Rome,110
111,Rome,GPE,".”
“Rome?” Vittoria demanded",111
112,Rome,GPE,"“The antimatter is in Rome? Who called?”
Kohler’s face was twisted, his gray eyes watering",112
113,Rome,GPE," 
“Rome? But ",113
114,Vatican City,GPE,“The sworn sentinels of Vatican City,114
115,X-33,LOC,".”31 
T he X-33 space plane roared into the sky and arched south toward Rome",115
116,Rome,GPE,".”31 
T he X-33 space plane roared into the sky and arched south toward Rome",116
117,Vatican,FAC,"Now that he had finished briefing Vittoria on the Illuminati and their covenant against the Vatican, the scope of itua 
this s 
tion was starting to sink in",117
118,Boston,GPE,Langdon’s better judgment had screamed at him to return to Boston,118
119,Vatican City,GPE,"Although Langdon was ashamed to admit it, his initial horror on hearing about the antimatter’s location was not only the danger to human life in Vatican City, but for something else as well",119
120,Vittoria,GPE,The earnestness in Vittoria’s voice was even more disarming than the inquiry,120
121,Möbius Strip,GPE,My father could argue two sides of a Möbius Strip,121
122,Möbius Strip,GPE,".”
Langdon laughed, picturing the artful crafting of a Möbius Strip-a twisted ring of paper, which technically possessed only oneside",122
123,Mecca,GPE,"Some
of us pray to Jesus, some of us go to Mecca, some of us study subatomic particles",123
124,U.S.,GPE,“I became fascinated with the cult when I first learned that U,124
125,U.S.,GPE,Do you know what pyramids have to do with U,125
126,the Great Seal,FAC,"But it was Wallace who sold the design
of the Great Seal to the president",126
127,Rome,GPE,".”32
L angdon held his breath as the X-33 spiraled into Rome’s Leonardo da Vinci International Airport",127
128,da Vinci International Airport,FAC,".”32
L angdon held his breath as the X-33 spiraled into Rome’s Leonardo da Vinci International Airport",128
129,the Andean Palpa Valley,LOC,"Langdon had been on 
helicopter once in the Andean Palpa Valley looking at the Nazcasand drawings and had not enjoyed it one bit",129
130,Vatican,FAC,"After a morning of space plane rides, Langdon had hoped the Vatican would send a car",130
131,Vatican,FAC,"It was the trad 
al s 
ition 
eal of the Vatican-the sacred symbol of the Holy Seeor “holy seat” of government, the seatbeing literally the ancient throne of St",131
132,St. Peter,GPE,"It was the trad 
al s 
ition 
eal of the Vatican-the sacred symbol of the Holy Seeor “holy seat” of government, the seatbeing literally the ancient throne of St",132
133,Vatican,FAC,"He’d forgotten the Vatican owned one of these things, used for transporting the Pope to the airport, to meetings, or to his summer palace in Gandolfo",133
134,U.S.,GPE,He moved toward them with all the rigidity and dignity of a U,134
135,Switzerland,GPE,"Recruited from one of Switzerland’s four Catholic cantons, applicants had to be Swiss males between nineteen and thirty years old, at least 5 feet 6 inches, trained by the Swiss Army, and unmarried",135
136,Vatican City,GPE,“Short pants are not permitted inside Vatican City,136
137,Vatican City,GPE,"Vatican City
had a strict ban on visible legs above the knee-both male and female",137
138,Langdon,GPE," 
The officer crouched at Langdon’s feet and began patting him down, starting at his socks",138
139,"La 
 
don",GPE,".”
The Swiss Guard chopper churned in neutral as La 
don and Vittoria app 
ng 
roached",139
140,Rome,GPE," 
Langdon knew that with Rome’s maniacal drivers, flying was probably safer anyway",140
141,Rome,GPE,"Then with a roar, the craft shot up and banked sharply north toward Rome",141
142,Rome,GPE, Rome,142
143,St. Peter,GPE,"the caput mundi, where Caesar once ruled, where St",143
144,Vatican,FAC," 
The Vatican chopper stayed low in the sky as it sliced northwest through the permanent smog layer coughed up by the congestion below",144
145,the Roman Coliseum,FAC,His eyes found the crumbling ruins of the Roman Coliseum,145
146,eventshungry lions shredding prisoners,FAC,"Now a dignified symbol for the rise of human culture and civilization, the stadium had been built to host centuries of barbaric eventshungry lions shredding prisoners, armies of slaves battling to the death, gang rapes of exotic women captured from far-off lands, as well as public beheadings and castrations",146
147,Rome,GPE," 
As the chopper headed north, Langdon spied the Roman Forum-the heart of pre-Christian Rome",147
148,Tiber River,LOC,"To the west the wide basin of the Tiber River wound enormo 
ven
us arcs across the city",148
149,St. Peter’s Basilica,GPE,"Like a mountain parting the morning fog, the colossal dome rose out of the haze before them: St",149
150,St. Peter’s,GPE,".”
Langdon had never seen St",150
151,Vatican City,GPE,"over one hundred times the population of Vatican City, the smallest country in the world",151
152,St. Peter’s,GPE," 
A sprawling expanse of granite, St",152
153,Rome,GPE,"Peter’s Square was a staggering open space in the congestion of Rome, like a classical Central Park",153
154,Central Park,LOC,"Peter’s Square was a staggering open space in the congestion of Rome, like a classical Central Park",154
155,Vatican City,GPE," 
“Vatican City,” the pilot said, sounding anything but welcoming",155
156,St. Peter’s Square,GPE,"She motioned frantically
downward toward St",156
157,Vatican,FAC,"But now, in keeping with the sacred tradition, fifteen days after the death of a Pope, the Vatican was holding Il Conclavo -the sacred ceremony in which the 165 cardinals of the world-the most powerful men in Christendom athered in 
-g Vatican City to elect the new Pope",157
158,Vatican City,GPE,"But now, in keeping with the sacred tradition, fifteen days after the death of a Pope, the Vatican was holding Il Conclavo -the sacred ceremony in which the 165 cardinals of the world-the most powerful men in Christendom athered in 
-g Vatican City to elect the new Pope",158
159,Vatican City,GPE," 
d of Vatican City spread out beneath him The entire power structure of the Roman Catholic Church is sitting on a time bomb ",159
160,Mortati,GPE," 34
C ardinal Mortati gazed up at the lavish ceiling of the Sistine Chapel and tried to find a moment of quiet reflection",160
161,the Sistine Chapel,FAC," 34
C ardinal Mortati gazed up at the lavish ceiling of the Sistine Chapel and tried to find a moment of quiet reflection",161
162,Mortati,GPE," What privilege, Mortati thought, that I am to oversee this sanctified event ",162
163,Mortati,GPE,"Cardinals over eighty years of age were too old to be eligible for election and did not attend conclave, but at seventy-nine years old, Mortati was the most senior cardinal here and had been appointed to oversee the proceedings",163
164,Mortati,GPE,"Ancient history, Mortati thought",164
165,Vatican City,GPE,"Mortati knewfrom 
that all the exits to Vatican City were
guarded, and the missing cardinals could not have gone far, but still, with less than an hour before opening prayer, he was feeling disconcerted",165
166,Mortati,GPE," 
As overseer of the conclave, Mortati had al 
per channels
ready sent word through the pro 
to the Swiss Guard alerting them to the cardina 
t 
ls’ absence",166
167,"al 
 
",GPE," 
As overseer of the conclave, Mortati had al 
per channels
ready sent word through the pro 
to the Swiss Guard alerting them to the cardina 
t 
ls’ absence",167
168,Vatican,FAC," 35
T he Vatican’s helipad, for reasons of safety and noise control, is located in the northwest tip of Vatican City, as far from St",168
169,Vatican City,GPE," 35
T he Vatican’s helipad, for reasons of safety and noise control, is located in the northwest tip of Vatican City, as far from St",169
170,St. Peter’s Basilica,GPE," 35
T he Vatican’s helipad, for reasons of safety and noise control, is located in the northwest tip of Vatican City, as far from St",170
171,Vatican,GPE,"The heart of Vatican Cit f
y",171
172,the Palace of the Tribunal,FAC,"To the right loomed the Palace of the Tribunal, the lush papal residence rivaled only by Versailles in its baroque embellishment",172
173,Versailles,GPE,"To the right loomed the Palace of the Tribunal, the lush papal residence rivaled only by Versailles in its baroque embellishment",173
174,Governatorato,GPE,"The severe-looking Governatorato build d
ing was now behin 
them, housing Vatican City’s administration",174
175,Vatican City’s,GPE,"The severe-looking Governatorato build d
ing was now behin 
them, housing Vatican City’s administration",175
176,the Vatican Museum,FAC,"And up ahead on the left, the massive rectangular edifice of the Vatican Museum",176
177,the Sistine Chapel,FAC,“The cardinals are convened in the Sistine Chapel,177
178,the Sistine Chapel,FAC,".”
Langdon nodded, vaguely recalling that before conclave the cardinals spent two hours inside the Sistine Chapel in quiet reflection and visitations with their fellow cardinals from around the globe",178
179,St. Peter’s Basilica,GPE," 
After parking the cart on the wide lawn directly behind St",179
180,"bac 
 
basilica",FAC,"Peter’s Basilica, the guard escorted Langdon and Vittoria up a stone escarpment to a ma 
k of the
rble plaza off the bac 
basilica",180
181,Crossing the plaza,FAC,"Crossing the plaza, they approached the rear wall of the basilica and followed it through a triangular courtyard, across Via Belvedere, and into a series of buildings closely huddled together",181
182,Via Belvedere,FAC,"Crossing the plaza, they approached the rear wall of the basilica and followed it through a triangular courtyard, across Via Belvedere, and into a series of buildings closely huddled together",182
183,St. Peter’s Basilica,GPE," 
The Office of the Swiss Guard is housed adjacent to Il Corpo di Vigilanza, directly northeast of St",183
184,Vatican,FAC,"Although they also wore the blue and gold uniform, each wielded the traditional “Vatican long sword”-an eight-foot spear with a razor-sharp scythe-rumored to have decapitated countless Muslims while defending the Christian crusaders in the fifteenth century",184
185,Vatican,FAC,"In 1857, Pope Pius IX
decided that the accurate representation of the male form might incite lust inside the Vatican",185
186,Vatican City,GPE,So he got a chisel and mallet and hacked off the genitalia of every single male statue inside Vatican City,186
187,Vatican,FAC,"and yet the room 
bookshelves, oriental carpets, and colorful tape bristled with
high-tech gear-banks of computers, faxes, electronic maps of the Vatican complex, and televisions tuned to CNN",187
188,Vatican City,GPE,“This image is from a remote camera hidden somewhere inside Vatican City,188
189,Vatican City,GPE,We need to locate it immediately or evacuate Vatican City,189
190,Vatican City,GPE,"“Despite the archaic appearance of Vatican City, every single ippe 
entrance, both public and private, is equ 
d with the most advanced sensing equipment
known to man",190
191,Teflon,GPE,"“Plastic batteries?”
“Polymer gel electrolyte with Teflon",191
192,Vatican,FAC,"“Signorina, the Vatican is the target of dozens of bomb threats a month",192
193,Vatican,FAC,"“Might I ask exactly whoyou are? What is your position at CERN?”
“I am a senior member of the research staff and appointed liaison to the Vatican for this crisis",193
194,Vatican City,GPE,".”
“Excuse me for being rude, but if this is indeed a crisis, why am I dealing with youand not your director? And what disrespect do youintend by coming into Vatican City in short pants?”
Langdon groaned",194
195,Vatican,FAC,"Then again, he realized, if stone penises could induce lustful thoughts in Vatican residents, Vittoria Vetra in shorts could certainlybe a threat to national security",195
196,seco,LOC," 
“Commander Olivetti,” Langdon in 
nd
tervened, trying to diffuse what looked like a seco 
bomb about to explode",196
197,U.S.,GPE,I’m a professor of religious studies in the U,197
198,Vatican City,GPE,"“I have a woman in shorts telling me that a droplet of liquid is going to blow up Vatican City, and I have an American professor telling me we are being targeted by some antireligious cult",198
199,Vatican City,GPE,Vatican City is enormous,199
200,Vatican City,GPE,"“Until these numbers count down? Until Vatican City disappears? Believe me, I do not take kindly to people tampering with my security system",200
201,Vatican City,GPE,"“I am having a difficult time accepting that the Illuminati are still active, and yet the appearance of this brand combined with the fact that the Illuminati have a well-known covenant against Vatican City has changed my mind",201
202,Vatican,FAC,"Vetra has not informed you, but CERN scientists have been criticizing Vatican policies for decades",202
203,Vatican,FAC,"W 
io
hat scenar 
seems more likely to you-that a four-hundred-year-old satanican
cult has resurfaced with 
advanced weapon of mass destruction, or that some prankster at CERN is trying to disrupt a sacred Vatican event with a well-executed fraud?”
“That photo,” Vittoria said, her voice like bo Murdered 
iling lava, “is of my father",203
204,Vatican City,GPE,"With the exception of the Swiss Guard, the only ones present in Vatican City at this time are the College of Cardinals",204
205,the Sistine Chapel,FAC,And they are inside the Sistine Chapel,205
206,Vatican,FAC,He recalled reading once about the curious arrangement of Vatican authority following the death of a Pope,206
207,Vatican,FAC,"Langdon, it is true that Vatican rule dictates the camerlegno assume chief executive office during conclave, but it is only because his lack of eligibility for the papacy ensures an unbiased election",207
208,Vatican,FAC,"Som one at the
Vatican needed to take her seriously",208
209,Vatican Prison,FAC,".”
’s a pretty big 
“What’s he going to do, shoot me for using the phone?”
“Who the hell knows! This is a pretty strange place, and the wa going-”
y things are 
“Either that,” Vittoria said, “or we can spend the next five hours and forty-eight minutes in Vatican Prison",209
210,U.S.,GPE,I bet you one of those Illuminati U,210
211,the Ufficio di Communicazione,FAC," 38
T he Vatican switchboard is located in the Ufficio di Communicazione behind the Vatican post office",211
212,Vatican,FAC," 38
T he Vatican switchboard is located in the Ufficio di Communicazione behind the Vatican post office",212
213,Vatican City,GPE,He felt proud to be one of only a handful of employees still allowed inside Vatican City tonight,213
214,Vatican,FAC,World interest in Vatican events seemed to have dwindled in the last few years,214
215,St. Peter’s,GPE,"Sadly, though, despite St",215
216,Vatican City,GPE,"A woman inside Vatican City? Tonight?
The woma and furiously",216
217,the Sistine Chapel,FAC,".”39
T he Apostolic Palace is a conglomeration of buildings located near the Sistine Chapel in the northeast corner of Vatican City",217
218,Vatican City,GPE,".”39
T he Apostolic Palace is a conglomeration of buildings located near the Sistine Chapel in the northeast corner of Vatican City",218
219,St. Peter’s Square,GPE,"With a commanding
view of St",219
220,the Papal Apartments,FAC,"Peter’s Square,
the palace houses both the Papal Apartments and the Office of the Pope",220
221,St. Peter’s,GPE,"A colossal chandelier hung overhead, beyond which a bank of arched windows offered a stunning panorama of the sun-drenched St",221
222,Vatican,FAC," 
The camerlegno was nothing like the images of frail, beatific old men Langdon usually imagined roaming the Vatican",222
223,Vatican,GPE,"He looked to be in his late-thirties, indeed a child by Vatican standards",223
224,Vatican,FAC,"“W 
ator calls
hen the Vatican oper 
me a half hour before I begin conclave to
tell me a woman is calling from yourprivate office to warn me of some sort of major security threat of which I have not been informed, thatconcerns me",224
225,Vatican City,GPE,“The destruction of Vatican City,225
226,Vittoria,GPE,".”40
I s this true?” the camerlegno demanded, looking amazed as he turned from Vittoria to Olivetti",226
227,Vatican City,GPE,"“Are you certain it is
inside Vatican City?” the camerlegno asked",227
228,"the mome e  
 
nt",FAC,"We have a number of other security concerns at the mome e
nt, and with all du 
respect to Ms",228
229,Vatican City,GPE,"“That droplet is enough to level Vatican City! Did you even listen to a word I told you?”
“Ma’am,” Olivetti said, his voice like steel, “my experience with explosives is extensive",229
230,Vatican City,GPE,"“Dangerous or not, Illuminati or no Illuminati, whatever this thing is, it most certainly should not be inside Vatican City ",230
231,Vatican City,GPE,"“Signore, if you are suggesting we make a naked-eye search of the entirety of Vatican City then I must object",231
232,Rome,GPE,"The IF signature suggests he’s somewhere in Rome 
, but there’s really no way to 
trace him",232
233,Vatican,FAC,The abolition of the Vatican is nonnegotiable,233
234,Vatican,FAC,"Do you really believe the Vatican is immune?”Jesus, Langdon thought, they’ve got someone on the inside ",234
235,the Sistine Chapel,FAC,"“Where did you get this information!”
“Camerlegno,” the caller gloated, “ask your commander if all your cardinals are present in the Sistine Chapel",235
