,lugares,labels,Quotes,order,Position,LAT_google,LON_google,LON_geopy,LAT_geopy,address,,,,
11,Vatican City,GPE,"To my dear friend Irv Sittler, for facilitating my audience with the Pope, secreting me into parts of Vatican City few ever see, and making my time in Rome unforgettable",10,10,41.902916,12.453389,0.099991805,52.21370905,"Churchill College (University of Cambridge), Madingley Road, Eddington, Cambridge, Cambridgeshire, East of England, England, CB3 0DS, United Kingdom",,,,
110,Rome,GPE,"To my dear friend Irv Sittler, for facilitating my audience with the Pope, secreting me into parts of Vatican City few ever see, and making my time in Rome unforgettable",11,11,41.9027835,12.4963655,-76.89641403,42.62798415,"Seneca Lake, Watkins Glen, Torrey, Schuyler County, New York, United States",,,,
111,Rome,GPE,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",12,11,41.9027835,12.4963655,-76.89641403,42.62798415,"Seneca Lake, Watkins Glen, Torrey, Schuyler County, New York, United States",,,,
227,Exeter,GPE,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",13,13,32.8996787,-96.9821243,1.8883335,46.603354,France,,,, 
228,New Hampshire,GPE,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",14,14,43.1938516,-71.5723953,2.3514616,48.8566969,"Paris, Île-de-France, France métropolitaine, France",,,,
230,the Vatican Observatory,FAC,"Nadeau, NuvoMedia andRocket E-books, Frank and Sylvia Kennedy, Rome Board of Tourism, Maestro GregoryBrown, Val Brown, Werner Brandes, Paul Krupin at Direct Contact, Paul Stark, Tom King at Computalk Network, Sandy and Jerry Nolan, Web guru Linda George, the National Academy of Art in Rome, physicist and fellow scribe Steve Howe, Robert Weston, the Water Street Bookstore in Exeter, New Hampshire, and the Vatican Observatory",15,15,32.7012578,-109.8920589,,,,,,,
231,Switzerland,GPE," FACT
T he world’s largest scientific research facility-Switzerland’s Conseil Européen pour la Recherche Nucléaire(CERN)-recently succeeded in producing the first particles of antimatter",16,16,46.818188,8.227512,12.6363135,43.7262608,"Urbino, Pesaro e Urbino, Marche, 61029, Italia",,,,
238,New York City,GPE,"Antimatter creates no pollution or radiation, and a droplet could power New York City for a full day",17,17,40.7127753,-74.0059728,2.3514616,48.8566969,"Paris, Île-de-France, France métropolitaine, France",,,,
239,Hiroshima,GPE,"A single gram antimatter contains the energy of a 20-kiloton nuclear
bomb-the size of the bomb dropped on Hiroshima",18,18,34.3852894,132.4553055,16.21223831,48.09109325,"Holy Ground, Aufriegelstraße, Wassergspreng, Katastralgemeinde Weissenbach bei Mödling, Weissenbach bei Mödling, Gemeinde Hinterbrühl, Bezirk Mödling, Niederösterreich, 2371, Österreich",,,,
112,Rome,GPE,"One question looms: Will this highly volatile substance save the world, or will it be used o 
to create the m st deadly weapon ever made?
AUTHOR’S NOTE
R eferences to all works of art, tombs, tunnels, and architecture in Rome are entirely factual (as are their exact locations)",19,11,41.9027835,12.4963655,-76.89641403,42.62798415,"Seneca Lake, Watkins Glen, Torrey, Schuyler County, New York, United States",,,,
240,Tulsa,GPE,"The Shroud of Tulsa , Langdon had called it",20,20,36.1539816,-95.992775,2.1266886,48.8035403,"Versailles, Yvelines, Île-de-France, France métropolitaine, 78000, France",,,,
241,Massachusetts,GPE," 
Robert Langdon wandered barefoot through his deserted Massachusetts Victorian home and nursed his ritual insomnia remedy-a mug of steaming Nestlé’s Quik",21,21,42.4072107,-71.3824374,4.958558222,50.8034195,"Necropolis, Pastorijstraat, Grimde, Tienen, Leuven, Vlaams-Brabant, Vlaanderen, 3300, België / Belgique / Belgien",,,,
242,Ghana,GPE,"His shelves were packed with religious artifacts from around the world-an ekuabafrom Ghana, a gold cross from Spain, a cycladic idol from the Aegean, and even a rare woven boccusfrom Borneo, a young warrior’s symbol of perpetual youth",22,22,7.946527,-1.023194,132.4518156,34.3916058,"広島市, 広島県, 日本",,,,
243,Spain,GPE,"His shelves were packed with religious artifacts from around the world-an ekuabafrom Ghana, a gold cross from Spain, a cycladic idol from the Aegean, and even a rare woven boccusfrom Borneo, a young warrior’s symbol of perpetual youth",23,23,40.463667,-3.74922,12.57088008,55.68001745,"Sankt Petri Kirke, Sankt Peders Stræde, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1168, Danmark",,,,
246,Aegean,LOC,"His shelves were packed with religious artifacts from around the world-an ekuabafrom Ghana, a gold cross from Spain, a cycladic idol from the Aegean, and even a rare woven boccusfrom Borneo, a young warrior’s symbol of perpetual youth",24,24,39.019184,25.268555,25.52727581,37.67171605,"Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς",,,,
247,Borneo,GPE,"His shelves were packed with religious artifacts from around the world-an ekuabafrom Ghana, a gold cross from Spain, a cycladic idol from the Aegean, and even a rare woven boccusfrom Borneo, a young warrior’s symbol of perpetual youth",25,25,0.9618834,114.5548495,114.7405992,1.42965855,"Borneo, Indonesia",,,,
248,Boston,GPE,My lab is only an hour’s flight from Boston,26,26,42.3600825,-71.0588801,-71.0582912,42.3602534,"Boston, Suffolk County, Massachusetts, United States",,,,
249,Boston,GPE,“It will be in Boston in twenty minutes,27,26,42.3600825,-71.0588801,-71.0582912,42.3602534,"Boston, Suffolk County, Massachusetts, United States",,,,
251,the Callahan Tunnel,FAC,".”4
R obert Langdon’s Saab 900S tore out of the Callahan Tunnel and emerged on the east side of Boston Harbor near the entrance to Logan Airport",28,28,42.3679524,-71.0461236,,,,,,,
252,Boston Harbor,FAC,".”4
R obert Langdon’s Saab 900S tore out of the Callahan Tunnel and emerged on the east side of Boston Harbor near the entrance to Logan Airport",29,29,42.3387933,-70.9745339,-70.9661596,42.3417649,"Boston Harbor, Boston, Suffolk County, Massachusetts, 02152, United States",,,,
253,Logan Airport,FAC,".”4
R obert Langdon’s Saab 900S tore out of the Callahan Tunnel and emerged on the east side of Boston Harbor near the entrance to Logan Airport",30,30,42.3656132,-71.0095602,-71.1013814,42.3638002,"ZuZu, 474, Massachusetts Avenue, Central Square, Cambridgeport, Cambridge, Middlesex County, Massachusetts, 02139, United States",,,,
254,Aviation Road,FAC,"Checking his directions Langdon found Aviation Road and turned left
",31,31,43.3309721,-73.7007948,-1.230952,53.7963207,"Aviation Road, Sherburn in Elmet, Selby, North Yorkshire, Yorkshire and the Humber, England, LS25 6PJ, United Kingdom",,,,
255,Geneva,GPE," 
“Geneva,” the pilot replied, revving the engines",32,32,46.2043907,6.1431577,8.790798752,34.43367,"ولاية قفصة, تونس",,,,
256,Geneva,GPE,“The lab’s in Geneva,33,32,46.2043907,6.1431577,8.790798752,34.43367,"ولاية قفصة, تونس",,,,
257,Geneva,GPE,".”
“Geneva,” Langdon repeated, feeling a little better",34,32,46.2043907,6.1431577,8.790798752,34.43367,"ولاية قفصة, تونس",,,,
262,Seneca Lake,LOC,I’ve actually got family near Seneca Lake,35,35,42.6918497,-76.920192,7.4718731,48.3832725,"Saint-Pierre, Sélestat-Erstein, Bas-Rhin, Grand Est, France métropolitaine, 67140, France",,,,
258,Geneva,GPE,I wasn’t aware Geneva had a physics lab,36,32,46.2043907,6.1431577,8.790798752,34.43367,"ولاية قفصة, تونس",,,,
3,New York,GPE,"“Not Geneva, New York, Mr",37,0,40.7127753,-74.0059728,144.2489081,-5.6816069,Papua Niugini,,,,
259,Geneva,GPE,"Geneva, Switzerland ",38,32,46.2043907,6.1431577,8.790798752,34.43367,"ولاية قفصة, تونس",,,,
232,Switzerland,GPE,"Geneva, Switzerland ",39,16,46.818188,8.227512,12.6363135,43.7262608,"Urbino, Pesaro e Urbino, Marche, 61029, Italia",,,,
233,Switzerland,GPE,“Switzerland?” Langdon felt his pulse surge,40,16,46.818188,8.227512,12.6363135,43.7262608,"Urbino, Pesaro e Urbino, Marche, 61029, Italia",,,,
263,earth,LOC,One of the most covert and feared fraternities ever to walk the earth had called on him for service,41,41,37.2321077,-95.7243335,2.214495016,40.2678399,"Mar Balear, España",,,,
287,Janus,LOC,He had made his kill and delivered the item to Janus as requested,42,42,39.718656,-104.9548505,-27.0917008,38.7650295,"Aeroporto Internacional das Lajes, Canada do Duarte, Santa Luzia, Praia da Vitória (Santa Cruz), Praia da Vitória, Terceira, Açores, 9760-451, Portugal",,,,
288,Saturn,LOC,or to the moon of Saturn? Not that it made any difference,43,43,36.1583952,-95.9946482,-0.1589287,43.1034783,"Saint-Pé-de-Bigorre, Argelès-Gazost, Hautes-Pyrénées, Occitanie, France métropolitaine, 65270, France",,,,
234,Switzerland,GPE," 
“Welcome to Switzerland,” the pilot said, yelling over the roar of the X-33’s misted-fuel HEDM engines winding down behind them",44,16,46.818188,8.227512,12.6363135,43.7262608,"Urbino, Pesaro e Urbino, Marche, 61029, Italia",,,,
289,HEDM,GPE," 
“Welcome to Switzerland,” the pilot said, yelling over the roar of the X-33’s misted-fuel HEDM engines winding down behind them",45,45,40.4427314,-79.9429552,-118.329523,34.0980031,"Hollywood, Los Angeles, Los Angeles County, California, 90028-8127, United States",,,,
290,Tokyo,GPE,If we’d gone to Tokyo I’d have taken her all the way up-a hundred miles,46,46,35.6761919,139.6503106,12.449895,41.9027753,"Mons Vaticanus, Città del Vaticano, 00120, Città del Vaticano",,,,
264,earth,LOC,“It’s buried six stories below the earth,47,41,37.2321077,-95.7243335,2.214495016,40.2678399,"Mar Balear, España",,,,
291,Europe,LOC,“Most Americans do not see Europe as the world leader in scientific research,48,48,54.5259614,15.2551187,11.2555757,43.7698712,"Firenze, Toscana, Italia",,,,
302,ards,GPE," 
Kohler took a sharp left and entered a wide hallway
ards and
adorned with aw 
commendations",49,49,42.1391851,-87.8614972,24.00656043,56.95941305,"Ters, 4B, Zentenes iela, Imanta-4, Imanta, Rīga, Vidzeme, LV-1069, Latvija",,,,
303,Louvre,LOC,"Then again, his knowledge was limited to the site for his own book and the occasional on-line exploration of the Louvre or El Prado on his old Macintosh",50,50,48.8606111,2.337644,13.43849698,43.3010666,"Polo residenziale Costantino Mortati, Santa Croce, Macerata, Marche, Italia",,,,
304,El Prado,FAC,"Then again, his knowledge was limited to the site for his own book and the occasional on-line exploration of the Louvre or El Prado on his old Macintosh",51,51,34.0778918,-118.25951,10,51,أوروبا,,,,
305,U.S.,GPE,"Of course, the entire world is under the impression the Web is U",52,52,37.09024,-95.712891,10.124308,44.06670785,"Via Belvedere, Bergiola Foscalina, Carrara, Massa-Carrara, Toscana, 54033, Italia",,,,
316,Frisbee,FAC,"As if to accentuate the collegiate atmosphere, two longhaired hippies hurled a Frisbee back and forth while enjoying Mahler’s Fourth Symphony blaring from a dorm window",53,53,37.09024,-95.712891,6.1466014,46.2017559,"Genève, Schweiz/Suisse/Svizzera/Svizra",,,,
318,Fourth Symphony,FAC,"As if to accentuate the collegiate atmosphere, two longhaired hippies hurled a Frisbee back and forth while enjoying Mahler’s Fourth Symphony blaring from a dorm window",54,54,33.518021,-86.777621,-90.0287043,36.3500628,"Frisbee, Dunklin County, Missouri, 63880, United States",,,,
317,Frisbee,FAC,"As they walked, a Frisbee sailed overhead and skidded to a stop directly in front of them",55,53,37.09024,-95.712891,6.1466014,46.2017559,"Genève, Schweiz/Suisse/Svizzera/Svizra",,,,
319,PARIS,GPE,An elderly white-haired man in a COLLEGE PARIS sweatshirt waved to him,56,56,48.856614,2.3522219,15.07014189,37.5012497,"Piazza del Risorgimento, Curia, Monte Po-Nesima-San Leone-Rapisardi, Catania, Sicilia, Italia",,,,
113,Rome,GPE,"But in the 1500s, a group of men in Rome fought back against the church",57,11,41.9027835,12.4963655,-76.89641403,42.62798415,"Seneca Lake, Watkins Glen, Torrey, Schuyler County, New York, United States",,,,
320,Italy,GPE,"Some of Italy’s most enlightened men-physicists, ma 
e 
thematicians, astronom rs-began meeting
secretly to share their concerns about the church’s inaccurate teachings",58,58,41.87194,12.56738,2.9158784,50.5461539,"Don, Lille, Nord, Hauts-de-France, France métropolitaine, 59272, France",,,,
292,Europe,LOC,"“Europe’s most learne 
i 
d m nds ",59,48,54.5259614,15.2551187,11.2555757,43.7698712,"Firenze, Toscana, Italia",,,,
293,Europe,LOC,"Word spread through the academic underground, and the Illuminati brotherhood grew to include academics from all over Europe",60,48,54.5259614,15.2551187,11.2555757,43.7698712,"Firenze, Toscana, Italia",,,,
114,Rome,GPE,The scientists met regularly in Rome at an ultrasecret lair they called the Church of Illumination ,61,11,41.9027835,12.4963655,-76.89641403,42.62798415,"Seneca Lake, Watkins Glen, Torrey, Schuyler County, New York, United States",,,,
265,earth,LOC,"Even nonscientists were familiar with the ill-fated as 
m 
trono er who had been arrested and almost executed by the church for proclaiming that the sun , and not the earth, was the center of the solar system",62,41,37.2321077,-95.7243335,2.214495016,40.2678399,"Mar Balear, España",,,,
327,Galileo Galilei,FAC," 
“His name was Galileo Galilei,” Langdon said",63,63,40.4552551,-79.9212929,10.4234469,51.0834196,Deutschland,,,,
115,Rome,GPE," 
“Then the scientists were brutally murdered, their dead bodies dropped in the streets of Rome as a warning to others thinking of joining the Illuminati",64,11,41.9027835,12.4963655,-76.89641403,42.62798415,"Seneca Lake, Watkins Glen, Torrey, Schuyler County, New York, United States",,,,
321,Italy,GPE,"With the church closing in, the remaining Illuminati fled Italy",65,58,41.87194,12.56738,2.9158784,50.5461539,"Don, Lille, Nord, Hauts-de-France, France métropolitaine, 59272, France",,,,
266,earth,LOC,Their power grew to the point where the church considered them the single most dangerous anti-Christian force on earth,66,41,37.2321077,-95.7243335,2.214495016,40.2678399,"Mar Balear, España",,,,
329,Vatican,FAC,The Vatican denounced the brotherhood as Shaitan ,67,67,41.902916,12.453389,-9.677220326,52.07789985,"Ards, Churchtown, Kenmare Municipal District, County Kerry, Munster, Éire / Ireland",,,,
116,Rome,GPE," 
re survivors,” he explained 
“When they fled Rome, they traveled across Europe looking for a safe place to regroup",68,11,41.9027835,12.4963655,-76.89641403,42.62798415,"Seneca Lake, Watkins Glen, Torrey, Schuyler County, New York, United States",,,,
294,Europe,LOC," 
re survivors,” he explained 
“When they fled Rome, they traveled across Europe looking for a safe place to regroup",69,48,54.5259614,15.2551187,11.2555757,43.7698712,"Firenze, Toscana, Italia",,,,
504,the United States,GPE,"The brotherhood of the Masons currently had over five million members worldwide, half of them residing in the United States, and over one million of them in Europe",70,70,37.09024,-95.712891,,,,,,,
295,Europe,LOC,"The brotherhood of the Masons currently had over five million members worldwide, half of them residing in the United States, and over one million of them in Europe",71,48,54.5259614,15.2551187,11.2555757,43.7698712,"Firenze, Toscana, Italia",,,,
296,Europe,LOC,"“The Illuminati grew more powerful in Europe and set their sights on America, a
a 
fledgling government m ny of whose leaders
were Masons-George Washington, Ben Franklin-honest, God-fearing men who were unaware of the Illuminati stronghold on the Masons",72,48,54.5259614,15.2551187,11.2555757,43.7698712,"Firenze, Toscana, Italia",,,,
506,America,GPE,"“The Illuminati grew more powerful in Europe and set their sights on America, a
a 
fledgling government m ny of whose leaders
were Masons-George Washington, Ben Franklin-honest, God-fearing men who were unaware of the Illuminati stronghold on the Masons",73,73,37.09024,-95.712891,5.9799001,51.4371483,"America, Horst aan de Maas, Limburg, Nederland",,,,
508,Kent,GPE,"Recently the New York Timeshad reported the eerie Masonic ties of countless famous men-Sir Arthur Conan Doyle, the Duke of Kent, Peter Sellers, Irving Berlin, Prince Philip, Louis Armstrong, as well as a pantheon of well-known modern-day industrialists and banking magnates",74,74,41.1536674,-81.3578859,-98.3678245,48.7605902,"Langdon, Cavalier County, North Dakota, United States",,,,
509,Irving Berlin,GPE,"Recently the New York Timeshad reported the eerie Masonic ties of countless famous men-Sir Arthur Conan Doyle, the Duke of Kent, Peter Sellers, Irving Berlin, Prince Philip, Louis Armstrong, as well as a pantheon of well-known modern-day industrialists and banking magnates",75,75,40.7539141,-73.9853115,-0.1276474,51.5073219,"London, Greater London, England, United Kingdom",,,,
510,the Biology Building,FAC,"Just last week the Harvard School of Divinity had marched on the Biology Building, protesting the genetic engineering taking place in the graduate program",76,76,41.6615826,-91.5327641,-81.53132,26.293446,"Oil Well Road, Golden Gate Estates, Collier County, Florida, United States",,,,
511,the Balearic Sea,LOC," 
Kohler nodded and yelled back, “She was doing biological research in the Balearic Sea",77,77,40.2890514,2.1450245,-118.4032299,34.0203161,"Campos Famous Burritos, Venice Boulevard, Palms, Los Angeles, Los Angeles County, California, 90034-5702, United States",,,,
512,twen,FAC,"Her face was unmistakably Italiannot overly beautiful, but possessing f atures that even at twen 
ull, earthy fe 
ty yards seemed
to exude a raw sensuality",78,78,38.8039283,-77.117405,,,,,,,
513,Mediterranean,LOC,"Her limbs were strong and toned, radiating the healthy luminescence of Mediterranean flesh that had enjoyed long hours in the sun",79,79,34.5531284,18.0480105,-102.8682231,46.5391751,"New England, Hettinger County, North Dakota, 58647, United States",,,,
306,U.S.,GPE,“He is a specialist from the U,80,52,37.09024,-95.712891,10.124308,44.06670785,"Via Belvedere, Bergiola Foscalina, Carrara, Massa-Carrara, Toscana, 54033, Italia",,,,
515,Camb,GPE,"He had first heard it over dinner with some colleagues at Dunster House in Camb 
f
ridge",81,81,29.8589069,-95.3867086,-1.0713154,60.6128895,"Camb, Yell, Scotland, ZE2 9DA, United Kingdom",,,,
307,U.S.,GPE,“The U,82,52,37.09024,-95.712891,10.124308,44.06670785,"Via Belvedere, Bergiola Foscalina, Carrara, Massa-Carrara, Toscana, 54033, Italia",,,,
267,earth,LOC,"The circumference of this tunnel is so
pe 
large that the curve is im 
rceptible-like
that of the earth",83,41,37.2321077,-95.7243335,2.214495016,40.2678399,"Mar Balear, España",,,,
268,earth,LOC,He remembered the CERN driver saying something about a huge machine buried in the earth,84,41,37.2321077,-95.7243335,2.214495016,40.2678399,"Mar Balear, España",,,,
516,France,GPE,It extends all the way into France before curving back here to this spot,85,85,46.227638,2.213749,-58.4114623,-34.5708169,"Galileo Galilei, Avenida Sarmiento, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1425ABX, Argentina",,,,
519,Siena,GPE,"She was eight years old, living where sh a 
e always h d, Orfanotrofiodi Siena , a Catholic orphanage near Florence, deserted by parents she never knew",86,86,43.318809,11.3307574,-90.5958468,38.791612,"Saint Peters, Saint Charles County, Missouri, 63376, United States",,,,
520,Florence,GPE,"She was eight years old, living where sh a 
e always h d, Orfanotrofiodi Siena , a Catholic orphanage near Florence, deserted by parents she never knew",87,87,43.7695604,11.2558136,8.6820917,50.1106444,"Frankfurt am Main, Hessen, Deutschland",,,,
235,Switzerland,GPE," 
“I’m moving to Switzerland,” Leonardo said",88,16,46.818188,8.227512,12.6363135,43.7262608,"Urbino, Pesaro e Urbino, Marche, 61029, Italia",,,,
236,Switzerland,GPE,"“Oh yes! Yes!”
Leonardo told her he had to leave for a while and get their new home settled in Switzerland, but he promised to send for her in six months",89,16,46.818188,8.227512,12.6363135,43.7262608,"Urbino, Pesaro e Urbino, Marche, 61029, Italia",,,,
260,Geneva,GPE,"Five days before her ninth birthday, Vittoria moved to Geneva",90,32,46.2043907,6.1431577,8.790798752,34.43367,"ولاية قفصة, تونس",,,,
522,the Balearic Islands,GPE,in the Balearic Islands when Kohler’s call came through,91,91,39.3587759,2.7356328,-85.0137631,33.0938498,"West Wind, Troup County, Georgia, United States",,,,
297,Europe,LOC,"But here, in Europe, women feigned a strength and independence that both amused and excited him",92,48,54.5259614,15.2551187,11.2555757,43.7698712,"Firenze, Toscana, Italia",,,,
523,Stonehenge,GPE,"Like a miniature Stonehenge, a dozen or so columns of polished steel stood in a circle in the middle of the room",93,93,51.178882,-1.826215,-95.9929113,36.1556805,"Tulsa, Tulsa County, Oklahoma, United States",,,,
524,Vittoria,GPE,".”
Langdon sensed Kohler weighing his options, as if wondering how far to push Vittoria ",94,94,42.7623971,-80.3230194,58.129643,60.7372706,"Пырам, Чердынский городской округ, Пермский край, Приволжский федеральный округ, Россия",,,,
557,the Hubble Telescope,FAC,"It’s called the Hubble Telescope, sir-I’ve never heard of any Lemaître Telescope!
“Mr",95,95,39.3327417,-76.6233669,,,,,,,
558,Lemaître   Telescope,LOC,"It’s called the Hubble Telescope, sir-I’ve never heard of any Lemaître Telescope!
“Mr",96,96,,,-84.27040523,30.4424524,"La Mediterranean, 119, Tallahassee, Leon County, Florida, 32301, United States",,,,
269,earth,LOC,"They are a type of matter that does nothad 
exist anywhere on earth ",97,41,37.2321077,-95.7243335,2.214495016,40.2678399,"Mar Balear, España",,,,
525,Vittoria,GPE,He looked up at Vittoria in clear astonishment and then without warning was overcome by a fit of coughing,98,94,42.7623971,-80.3230194,58.129643,60.7372706,"Пырам, Чердынский городской округ, Пермский край, Приволжский федеральный округ, Россия",,,,
559,Papua New Guinea,GPE,The room reminded Langdon of the holding tank of an oil freighter he had once taken to Papua New Guinea to study Hantabody graffiti,99,99,-6.314993,143.95555,-58.92036617,48.5600453,"Piccadilly, Newfoundland, Newfoundland and Labrador, Canada",,,,
560,lthou,GPE,"Comm 
wh 
ercialism was critical
lthou 
for the success of any new energy source",100,100,,,-2.112556202,57.14236895,"City of God, Alford Lane, City Centre, Aberdeen City, Scotland, AB10 1NT, United Kingdom",,,,
561,nonpolluti,GPE,"A 
gh antimatter technology had staggering
potential as an efficient and nonpolluti 
ource-if unveiled prematurely,
ng energy s 
antimatter ran the risk of being vilified by the politics and PR fiascoes that had killed nuclear and solar power",101,101,,,-76.64649069,37.23462445,"Loch Ness Monster, Busch Road, Anheuser-Busch, Grove, James City County, Virginia, 21385, United States",,,,
526,Vittoria,GPE,".”
The look of alarm that shot between Kohler and Langdon was not lost on Vittoria",102,94,42.7623971,-80.3230194,58.129643,60.7372706,"Пырам, Чердынский городской округ, Пермский край, Приволжский федеральный округ, Россия",,,,
270,earth,LOC," 
Another seventy-five feet into the earth",103,41,37.2321077,-95.7243335,2.214495016,40.2678399,"Mar Balear, España",,,,
271,earth,LOC,"“You think
e product of an icy divorce from 
CERN is so critical to the earth’s future that we should be immune from moral responsibility?”
“Do not argue moralswith me",104,41,37.2321077,-95.7243335,2.214495016,40.2678399,"Mar Balear, España",,,,
298,Europe,LOC,I didn’t know it was in Europe too,105,48,54.5259614,15.2551187,11.2555757,43.7698712,"Firenze, Toscana, Italia",,,,
272,earth,LOC,It was like the man had disappeared off the face of the earth,106,41,37.2321077,-95.7243335,2.214495016,40.2678399,"Mar Balear, España",,,,
527,Vittoria,GPE," 
A single sentient thought began pounding at Vittoria with unrelenting force",107,94,42.7623971,-80.3230194,58.129643,60.7372706,"Пырам, Чердынский городской округ, Пермский край, Приволжский федеральный округ, Россия",,,,
562,PA,GPE,".”
The sound of his name on the PA seemed to startle Kohler",108,108,41.2033216,-77.1945247,12.47682614,41.9107504,"Piazza del Popolo, Rione IV Campo Marzio, Municipio Roma I, Roma, Roma Capitale, Lazio, Italia",,,,
528,Vittoria,GPE,"Kohler took two long pulls, pushed the mask aside, and still gasping for air, looked up at Vittoria and Langdon",109,94,42.7623971,-80.3230194,58.129643,60.7372706,"Пырам, Чердынский городской округ, Пермский край, Приволжский федеральный округ, Россия",,,,
117,Rome,GPE,“Rome,110,11,41.9027835,12.4963655,-76.89641403,42.62798415,"Seneca Lake, Watkins Glen, Torrey, Schuyler County, New York, United States",,,,
118,Rome,GPE,".”
“Rome?” Vittoria demanded",111,11,41.9027835,12.4963655,-76.89641403,42.62798415,"Seneca Lake, Watkins Glen, Torrey, Schuyler County, New York, United States",,,,
119,Rome,GPE,"“The antimatter is in Rome? Who called?”
Kohler’s face was twisted, his gray eyes watering",112,11,41.9027835,12.4963655,-76.89641403,42.62798415,"Seneca Lake, Watkins Glen, Torrey, Schuyler County, New York, United States",,,,
120,Rome,GPE," 
“Rome? But ",113,11,41.9027835,12.4963655,-76.89641403,42.62798415,"Seneca Lake, Watkins Glen, Torrey, Schuyler County, New York, United States",,,,
12,Vatican City,GPE,“The sworn sentinels of Vatican City,114,10,41.902916,12.453389,0.099991805,52.21370905,"Churchill College (University of Cambridge), Madingley Road, Eddington, Cambridge, Cambridgeshire, East of England, England, CB3 0DS, United Kingdom",,,,
563,X-33,LOC,".”31 
T he X-33 space plane roared into the sky and arched south toward Rome",115,115,36.6934237,-90.7895684,-82.7321022,37.1720461,"Seco, Letcher County, Kentucky, 41849, United States",,,,
